Date,Time Start,Time End,Polygon-Location,Species,Count,Behavior,Notes,Observer,Longitude,Latitude
1/19/2018,7:43:00,.,BEACH SOUTH,SAPH,1,,,"MH, JN",-119.8795345,34.40807648
1/19/2018,7:49:00,.,BEACH SOUTH,SNPL,4,,,"MH, JN",-119.8797078,34.40828797
1/19/2018,7:51:00,.,BEACH SOUTH,AMPI,1,,,"MH, JN",-119.8810369,34.4094125
1/19/2018,7:51:00,.,BEACH SOUTH,SNPL,12,,,"MH, JN",-119.881038,34.40941407
1/19/2018,7:51:00,.,BEACH SOUTH,WHIM,1,,,"MH, JN",-119.8810429,34.40942928
1/19/2018,7:52:00,.,BEACH SOUTH,SNPL,9,,,"MH, JN",-119.8810445,34.40942968
1/19/2018,7:54:00,.,BEACH SOUTH,DUNL,1,,,"MH, JN",-119.8811951,34.40964195
1/19/2018,7:54:00,.,BEACH SOUTH,SAND,45,,,"MH, JN",-119.881049,34.40943638
1/19/2018,7:56:00,.,SLOUGH MOUTH,BBPL,2,,,"MH, JN",-119.880975,34.41027895
1/19/2018,7:56:00,.,SLOUGH MOUTH,LESA,12,,,"MH, JN",-119.8806488,34.41045878
1/19/2018,7:56:00,.,SLOUGH MOUTH,LESA,14,,,"MH, JN",-119.8812067,34.41037529
1/19/2018,7:57:00,.,SLOUGH MOUTH,SEPL,6,,,"MH, JN",-119.8813209,34.41022971
1/19/2018,7:57:00,.,SLOUGH MOUTH,WESA,3,,,"MH, JN",-119.8812301,34.41033675
1/19/2018,7:58:00,.,SLOUGH MOUTH,SNPL,67,,,"MH, JN",-119.8813598,34.41035388
1/19/2018,8:00:00,.,SLOUGH MOUTH,SNPL,2,,,"MH, JN",-119.8816738,34.41046306
1/19/2018,8:02:00,.,SLOUGH MOUTH,SNPL,5,,,"MH, JN",-119.8813417,34.41048447
1/19/2018,8:05:00,.,SLOUGH MOUTH,SNPL,52,,,"MH, JN",-119.8814481,34.40999208
1/19/2018,8:05:00,.,SLOUGH MOUTH,SNPL,1,,,"MH, JN",-119.8816324,34.41026397
1/19/2018,8:06:00,.,SLOUGH MOUTH,UNSW,6,Flying Over,unidentified swallows,"MH, JN",-119.881212,34.40995791
1/19/2018,8:13:00,.,SLOUGH MOUTH,DUNL,1,,,"MH, JN",-119.8815059,34.4101275
1/19/2018,8:23:00,.,BEACH NORTH,GRYE,1,Flying Over,,"MH, JN",-119.8837274,34.4128803
1/19/2018,8:24:00,.,BEACH NORTH,BBPL,2,,,"MH, JN",-119.8835828,34.41258025
1/19/2018,8:24:00,.,BEACH NORTH,LESA,2,,,"MH, JN",-119.8836555,34.41261022
1/19/2018,8:26:00,.,BEACH NORTH,BLPH,1,,,"MH, JN",-119.8843843,34.41373229
1/19/2018,8:48:00,.,BEACH NORTH,TUVU,1,,,"MH, JN",-119.884119,34.41325275
1/19/2018,8:49:00,.,DUNE POND,COHA,1,,,"MH, JN",-119.8816396,34.41297768
1/19/2018,8:52:00,.,DUNE POND,AMWI,34,,,"MH, JN",-119.8818964,34.41354718
1/19/2018,8:52:00,.,DUNE POND,BLPH,1,,,"MH, JN",-119.8813878,34.41338934
1/19/2018,8:52:00,.,DUNE POND,SOSP,1,,,"MH, JN",-119.8810706,34.4136261
1/19/2018,8:53:00,.,DUNE POND,GADW,18,,,"MH, JN",-119.8816891,34.4135914
1/19/2018,8:55:00,.,DUNE POND,WISN,6,,Wilson's snipe,"MH, JN",-119.8817898,34.41357479
1/19/2018,8:58:00,.,DUNE POND,COYE,1,Call,,"MH, JN",-119.8813358,34.41357894
1/19/2018,9:05:00,.,DUNE POND,BGGN,1,,,"MH, JN",-119.8816635,34.41335366
1/19/2018,9:13:00,.,CYPRESS,CALT,1,,cloudy conditions,"MH, JN",-119.880445,34.41293829
1/19/2018,9:15:00,.,CYPRESS,WEBL,2,,,"MH, JN",-119.8797855,34.41307121
1/19/2018,9:17:00,.,CYPRESS,CALT,2,,,"MH, JN",-119.8794294,34.41298758
1/19/2018,9:17:00,.,CYPRESS,WCSP,1,,,"MH, JN",-119.8793726,34.41285521
1/19/2018,9:18:00,.,CYPRESS,HOFI,1,,,"MH, JN",-119.8794285,34.41298863
1/19/2018,9:19:00,.,CYPRESS,ANHU,1,Female,,"MH, JN",-119.8790237,34.41289225
1/19/2018,9:19:00,.,CYPRESS,WESJ,1,,,"MH, JN",-119.8789365,34.41285956
1/19/2018,9:20:00,.,CYPRESS,WEBL,3,,,"MH, JN",-119.878702,34.41306177
1/19/2018,9:21:00,.,CYPRESS,ANHU,2,,,"MH, JN",-119.8786517,34.41286962
1/19/2018,9:21:00,.,CYPRESS,YEWA,3,,,"MH, JN",-119.8787028,34.41283864
1/19/2018,9:23:00,.,CYPRESS,ANHU,1,,,"MH, JN",-119.8786984,34.41284628
1/19/2018,9:23:00,.,CYPRESS,CALT,1,,,"MH, JN",-119.8786743,34.41289068
1/19/2018,9:24:00,.,CYPRESS,ANHU,1,,,"MH, JN",-119.8786458,34.41288841
1/19/2018,9:24:00,.,CYPRESS,WESJ,3,,,"MH, JN",-119.8787194,34.41291567
1/19/2018,9:25:00,.,WILLOWS,HAWO,2,,,"MH, JN",-119.8780295,34.41294298
1/19/2018,9:26:00,.,WILLOWS,CALT,1,,,"MH, JN",-119.8782688,34.41315251
1/19/2018,9:29:00,.,WEST SIDE,BUSH,1,,,"MH, JN",-119.8779964,34.41340759
1/19/2018,9:30:00,.,WEST SIDE,BUSH,8,,,"MH, JN",-119.8779081,34.41343492
