nest_number,year,post_number,location_description,discovery_date,eggs_at_discovery,total_eggs,nest_fate,failure_cause,expected_hatch_date,actual_hatch_date,eggs_hatched,chicks_fledged,longitude,latitude,notes1,notes2,notes3
1,2001,.,dunepond; wrack,5/2/01,unconfirmed,3,car,car,.,.,0,0,no GPS recorded,no GPS recorded,,,
2,2001,.,west of slough; wrack,5/2/01,unconfirmed,3,car,car,.,.,2,0,no GPS recorded,no GPS recorded,,,
3,2001,.,.,6/1/01,unconfirmed,.,hatched,,.,6/27/01,2,1,no GPS recorded,no GPS recorded,,,
4,2002,.,east; pebbles,3/8/02,unconfirmed,3,hatched,,.,4/20/02,3,3,no GPS recorded,no GPS recorded,,,
5,2002,.,east; pebbles,3/6/02,unconfirmed,.,no data,,.,.,.,.,no GPS recorded,no GPS recorded,,,
6,2002,.,east,4/4/02,unconfirmed,.,no data,,.,.,.,.,no GPS recorded,no GPS recorded,,,
7,2002,.,east; sand,4/13/02,unconfirmed,2,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,,,
8,2002,.,east; sand,4/15/02,unconfirmed,2,hatched,,.,5/18/02,2,1,no GPS recorded,no GPS recorded,,,
9,2002,.,east; pebbles,4/22/02,unconfirmed,1,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,,,
10,2002,.,east; pebbles,5/9/02,unconfirmed,.,no data,,.,.,.,.,no GPS recorded,no GPS recorded,,,
11,2002,.,east; pebbles,5/13/02,unconfirmed,.,no data,,.,.,.,.,no GPS recorded,no GPS recorded,,,
12,2002,.,east; pebbles,5/13/02,unconfirmed,3,hatched,,.,6/26/02,3,3,no GPS recorded,no GPS recorded,,,
13,2002,.,east; pebbles,5/16/02,unconfirmed,3,hatched,,.,6/15/02,3,3,no GPS recorded,no GPS recorded,,,
14,2002,.,east; pebbles,5/18/02,unconfirmed,2,hatched,,.,6/18/02,2,2,no GPS recorded,no GPS recorded,,,
15,2002,.,east; sand,6/12/02,unconfirmed,2,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,,,
16,2002,.,west of slough; sand/kelp,6/27/02,unconfirmed,3,hatched,,.,7/24/02,3,.,no GPS recorded,no GPS recorded,,,
17,2003,.,east; pebbles,3/31/03,unconfirmed,3,hatched,,.,4/22/03,3,0,no GPS recorded,no GPS recorded,"stuck in tar 4/29, unknown 5/7/03, dog 5/17/03",,
18,2003,.,east; pebbles,4/3/03,unconfirmed,3,hatched,,.,4/23/03,3,2,no GPS recorded,no GPS recorded,Wind? 4/3/03,,
19,2003,.,east; sand/rock,4/10/03,unconfirmed,1,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,crow 4/12/03,,
20,2003,.,east; sand/rock/bamboo,4/11/03,unconfirmed,3,hatched,,.,5/11/03,3,3,no GPS recorded,no GPS recorded,,,
21,2003,.,west; sand/kelp,6/?/03,unconfirmed,3,hatched,,.,6/8/03,2,2,no GPS recorded,no GPS recorded,lost 1 egg May 31,,
22,2003,.,west; sand,4/17/03,unconfirmed,3,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,Wind 4/22,,
23,2003,.,east; sand/kelp,4/19/03,unconfirmed,3,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,crow?,,
24,2003,.,east; sand/searocket,4/19/03,unconfirmed,3,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,Crow? 4/3/03,,
25,2003,.,east; sand/kelp,4/19/03,unconfirmed,1,wind,wind,.,.,0,0,no GPS recorded,no GPS recorded,"wind 4/19, abandoned",,
26,2003,.,east; rock,5/1/03,unconfirmed,3,hatched,,.,6/3/03,3,3,no GPS recorded,no GPS recorded,,,
27,2003,.,east; sand,5/12/03,unconfirmed,3,hatched,,.,6/9/03,3,3,no GPS recorded,no GPS recorded,,,
28,2003,.,east; sand,5/12/03,unconfirmed,3,hatched,,.,6/13/03,3,3,no GPS recorded,no GPS recorded,,,
29,2003,.,east; rock,5/20/03,unconfirmed,3,hatched,,.,6/19/03,2,2,no GPS recorded,no GPS recorded,1 egg failed,,
30,2003,.,east; rock,5/21/03,unconfirmed,3,hatched,,.,6/6/03,3,3,no GPS recorded,no GPS recorded,,,
31,2003,.,east; sand,5/23/03,unconfirmed,3,hatched,,.,6/20/03,3,3,no GPS recorded,no GPS recorded,,,
32,2003,.,west; sand/kelp,4/17/03,unconfirmed,3,predator - crow,crow,.,.,0,0,no GPS recorded,no GPS recorded,Wind or crow?,,
33,2003,.,east; rock/bamboo,6/11/03,unconfirmed,3,hatched,,.,7/5/03,3,3,no GPS recorded,no GPS recorded,,,
34,2003,.,east; sand/kelp,6/13/03,unconfirmed,3,hatched,,.,6/29/03,3,2,no GPS recorded,no GPS recorded,lost 1 chick 7/8,,
35,2003,.,east; sand/kelp/charcoal,6/5/03,unconfirmed,3,hatched,,.,7/6/03,3,3,no GPS recorded,no GPS recorded,,,
36,2003,.,east; rock,6/15/03,unconfirmed,2,hatched,,.,7/13/03,2,2,no GPS recorded,no GPS recorded,,,
37,2003,.,east; sand/rock,6/23/03,unconfirmed,1,abandoned,abandoned,.,.,0,0,no GPS recorded,no GPS recorded,abandoned,,
38,2003,.,east; rock/beer bottle,6/8/03,unconfirmed,3,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,,
39,2003,.,east; sand/kelp/log,7/11/03,unconfirmed,2,hatched,,.,.,2,2,no GPS recorded,no GPS recorded,,,
40,2003,.,west,8/8/03,unconfirmed,2,hatched,,.,8/6/03,2,2,no GPS recorded,no GPS recorded,"discovered chicks on 8/8, about 2 days old",,
41,2004,57,east; rock,3/13/04,unconfirmed,3,hatched,,.,4/17?,3,0,no GPS recorded,no GPS recorded, 4/17/04 Red tail,,
42,2004,173,east; sand/kelp,3/16/04,unconfirmed,3,hatched,,.,4/17/04,3,1,no GPS recorded,no GPS recorded, 2 chicks died on 4/20 redtail,Rock,
43,2004,80,east; rock/shell,3/21/04,unconfirmed,3,hatched,,.,4/13/04,3,0,no GPS recorded,no GPS recorded,"lost 1 chick 4/20 wind, lost 2 chick May 2 Racoon footprints. 1 body partially eaten on high tide line.",,
44,2004,78,east; sand/kelp,3/28/04,unconfirmed,3,hatched,,.,4/30/04,3,3,no GPS recorded,no GPS recorded,,Big rock.,
45,2004,148,east; sand/kelp,3/29/04,unconfirmed,3,hatched,,.,4/27/04,3,1,no GPS recorded,no GPS recorded,lost 1 chick RedTail hawk 4/27.  Hawk grabed 2 chicks but Melissa scared him and he droped 1.Chick disapeared next day,Angle stick,
46,2004,380,west; plant/sand,4/3/04,unconfirmed,3,hatched,,.,4/20/04,3,1,no GPS recorded,no GPS recorded,lost 2 chicks on 4/20 wind,,
47,2004,677,west; kelp/bamboo,4/1/04,unconfirmed,3,predator - whimbrel,whimbrel,.,.,0,0,no GPS recorded,no GPS recorded,Whimbrel ate eggs 4/25. Footprints visible,beige log behind,
48,2004,204,east; plant/sand,4/3/04,unconfirmed,3,hatched,,.,5/2/04,2,1,no GPS recorded,no GPS recorded,"1 infertile egg, 1 chick lost Wind",green plants near,
