alpha_code,alpha_code_sci,common_name,scientific_name
AMWI,MARAME,American Wigeon ,Mareca americana 
ANHU,CALANN,Anna's Hummingbird ,Calypte anna 
BBPL,PLUSQU,Black-bellied Plover ,Pluvialis squatarola 
CAGU,LARCAL,California Gull ,Larus californicus 
CALT,MELCRI,California Towhee ,Melozone crissalis 
CATE,HYDCAS,Caspian Tern ,Hydroprogne caspia 
CLSW,PETPYR,Cliff Swallow ,Petrochelidon pyrrhonota 
DCCO,PHAAUT,Double-crested Cormorant ,Phalacrocorax auritus 
GADW,MARSTR,Gadwall ,Mareca strepera 
HOFI,HAEMEX,House Finch ,Haemorhous mexicanus 
MALL,ANAPLA,Mallard ,Anas platyrhynchos 
MODO,ZENMAC,Mourning Dove ,Zenaida macroura 
NSHO,SPACLY,Northern Shoveler ,Spatula clypeata 
REDH,AYTAME,Redhead ,Aythya americana 
RUDU,OXYJAM,Ruddy Duck ,Oxyura jamaicensis 
SAND,CALALB,Sanderling ,Calidris alba 
SEPL,CHASEM,Semipalmated Plover ,Charadrius semipalmatus 
SNPL,CHANIV,Snowy Plover ,Charadrius nivosus 
SOSP,MELMEL,Song Sparrow ,Melospiza melodia 
WCSP,ZONLEU,White-crowned Sparrow ,Zonotrichia leucophrys
WEBL,SIAMEX,Western Bluebird ,Sialia mexicana 
WESA,CALMAU,Western Sandpiper ,Calidris mauri 
WILL,TRISEM,Willet,Tringa semipalmata 
